상태,공고번호,축,품종,털색,성,중성화 여부,특징,접수일시
종료(안락사),전남-영광-2020-00130,개,믹스견,흰색,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
종료(안락사),전남-영광-2020-00129,개,믹스견,흰색,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
종료(안락사),전남-영광-2020-00128,개,믹스견,"흰색, 흑갈색",암컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
종료(안락사),전북-부안-2020-00159,개,믹스견,"흰색, 검정",암컷,미상,"2개월령 믹스견 암컷, 바둑무늬",2020-05-09
종료(안락사),전북-부안-2020-00158,개,믹스견,밤색,수컷,미상,"2개월령 믹스견 수컷, 밤색",2020-05-09
종료(안락사),전북-부안-2020-00157,개,믹스견,흰색,수컷,미상,"2개월령 믹스견 수컷, 흰색",2020-05-09
종료(안락사),전북-부안-2020-00156,개,믹스견,흰색,수컷,미상,2개월령 믹스견 수컷,2020-05-09
종료(안락사),전북-부안-2020-00170,개,믹스견,흰색,수컷,미상,2개월령 믹스견 수컷,2020-05-09
종료(입양),전북-부안-2020-00169,개,믹스견,흰색,수컷,미상,2개월령 믹스견 수컷,2020-05-09
종료(입양),전북-부안-2020-00168,개,믹스견,흰색,암컷,미상,"2개월령 암컷, 흰색 믹스견",2020-05-09
종료(안락사),전북-부안-2020-00167,개,믹스견,"검회색, 밤색",암컷,미상,"3세 믹스견 암컷, 검회색, 밤색",2020-05-09
종료(안락사),전북-부안-2020-00166,개,믹스견,"흰색, 검정",암컷,미상,3살 바둑무늬 암컷,2020-05-09
종료(입양),서울-마포-2020-00110,고양이,한국 고양이,치즈,암컷,미상,"순함,건물 베란다에서 구조, 가출고양이로 추정",2020-05-09
종료(입양),경북-김천-2020-00163,개,푸들,갈색,암컷,아니오,"야윔, 우전지 골절 상태 오래됨",2020-05-09
종료(입양),경북-김천-2020-00162,고양이,한국 고양이,호랑이무늬,암컷,아니오,"약간 하악질하나 순함, 어림",2020-05-09
종료(입양),경북-김천-2020-00161,고양이,한국 고양이,흰색+검정색,수컷,아니오,"어리고 순함, 하악질 약간 함",2020-05-09
종료(안락사),인천-강화-2020-00276,개,믹스견,흰색,수컷,아니오,생후 2개월령,2020-05-09
종료(안락사),세종-세종-2020-00111,개,말티즈,흰색,수컷,아니오,털관리 안됨. 가위로 대충 털 자름.,2020-05-09
종료(자연사),경기-과천-2020-00049,고양이,한국 고양이,노랑무늬,수컷,아니오,고양이몸에상처.좌측전지절단,2020-05-09
종료(자연사),경남-창녕-2020-00362,개,믹스견,흰색+회색,수컷,예,친숙함,2020-05-09
종료(입양),경북-상주-2020-00178,개,포메라니안,흰,수컷,아니오,이빨이 다 &#50026;음,2020-05-09
종료(입양),강원-강릉-2020-00219,개,진도견,흰색,수컷,아니오,핑크색 목줄만 착용,2020-05-09
종료(자연사),경남-거창-2020-00157,개,믹스견,진갈색,수컷,미상,2개월 가량,2020-05-09
종료(기증),경남-양산-2020-00116,개,믹스견,흰색/갈색,수컷,아니오,흰색/갈색,2020-05-09
종료(입양),경남-거제-2020-00461,개,믹스견,검정 갈색,수컷,아니오,순한편,2020-05-09
종료(입양),경남-김해-2020-00649,개,골든 리트리버,갈색,암컷,미상,634,2020-05-09
종료(자연사),경남-김해-2020-00648,고양이,한국 고양이,갈검흰,미상,미상,"633, 7일추정, 3두, 탈진, 허약, 어미없음&젖먹이",2020-05-09
종료(자연사),경남-김해-2020-00647,개,믹스견,갈검,수컷,미상,"632, 6월추정",2020-05-09
종료(입양),전남-목포-2020-00372,개,스피츠,흰색,수컷,미상,"순하고 잘따름,관리됨,활발함",2020-05-09
종료(입양),전남-목포-2020-00371,개,푸들,갈색,암컷,미상,"미용 및 관리됨,목줄착용,순함",2020-05-09
종료(자연사),충남-홍성-2020-00250,개,믹스견,연갈색,암컷,미상,상당히 마른 영양실조,2020-05-09
종료(안락사),충남-서천-2020-00089,개,코카 스파니엘,"검은색, 갈색, 흰색",암컷,미상,.,2020-05-09
종료(반환),충남-천안-2020-00360,개,믹스견,갈색,암컷,미상,비맞으며 초등학교 한가운데서 배회..멀미해서 침흘림.순함.,2020-05-09
종료(입양),강원-춘천-2020-00217,개,푸들,흰색,암컷,미상,"흰색, 겁이 많음.",2020-05-09
종료(입양),강원-춘천-2020-00216,개,믹스견,연갈색&검정색,암컷,미상,"연갈색&검정색, 진드기있음, 경계심이 많음.",2020-05-09
종료(안락사),강원-춘천-2020-00215,개,믹스견,흰색,수컷,미상,"흰색, 진드기있음, 성격 온순.",2020-05-09
종료(반환),강원-춘천-2020-00214,개,믹스견,연갈색&흰색,수컷,미상,"연갈색&흰색, 진드기있음, 성격 온순.",2020-05-09
종료(자연사),경기-포천-2020-00362,고양이,한국 고양이,검/흰,수컷,아니오,눈곱. 콧물. 코검정. 꼬리짧음. 털때탐.,2020-05-09
종료(기증),경기-포천-2020-00361,개,푸들,연갈,수컷,아니오,방울+파랑+노랑하네스/스테이플러로 수리됨. 눈물자국. 오염. 꼬리털긺. 낑낑댐. 사람좋아함. 진드기오염.,2020-05-09
종료(반환),경기-포천-2020-00360,개,스피츠,흰,암컷,미상,연두색 목걸이. 눈물자국. 코갈검. 겁있음. 사람따름. 얌전함. 단미안됨.,2020-05-09
종료(안락사),경기-포천-2020-00359,개,믹스견,흰/갈,수컷,아니오,양귀처짐. 코검정. 거친털. 얌전. 꼬리단미안됨. 털상태양호. 진드기오염.,2020-05-09
종료(안락사),경기-포천-2020-00358,개,믹스견,연갈/흰,암컷,미상,양귀쫑긋. 오른눈 왼눈에 비해 작음. 얌전. 비틀거림/기력없음/기립못함. 통증호소. 진드기오염. 식욕없음.,2020-05-09
종료(자연사),경기-광주-2020-00316,고양이,한국 고양이,삼색,암컷,아니오,"5-43, 3주령, 저체온, 호흡기질환이 심하고 식욕이 전혀없어요",2020-05-09
종료(자연사),경기-광주-2020-00315,고양이,한국 고양이,검백색,수컷,아니오,"5-42, 3주령, 저체온, 호흡기질환이 심하고 식욕이 전혀없어요",2020-05-09
종료(입양),경기-안성-2020-00476,개,믹스견,검갈색,수컷,아니오,없음,2020-05-09
종료(안락사),경기-안성-2020-00475,개,믹스견,크림,수컷,아니오,없음,2020-05-09
종료(입양),경기-안성-2020-00474,개,라브라도 리트리버,검정,암컷,아니오,없음,2020-05-09
종료(반환),경기-고양-2020-00456,개,그레이트 피레니즈,흰색,암컷,미상,"주황색 목줄, 쇠로된 은색 목걸이 착용",2020-05-09
종료(기증),경기-의정부-2020-00164,개,말티즈,흰,수컷,아니오,눈곱. 눈물자국. 코검정. 겁많음. 소심함. 꼬리단미안됨. 털상태불량. 양슬개골심함.,2020-05-09
종료(입양),경기-수원-2020-00390,개,스피츠,흰색,수컷,아니오,털복실 순한 스피츠,2020-05-09
종료(자연사),경기-수원-2020-00389,고양이,한국 고양이,흑갈,미상,미상,사고추정 후구마비 증상 치료중,2020-05-09
종료(자연사),울산-울주-2020-00378,개,믹스견,검정.회색.흰색,미상,아니오,"꼬리,뒷다리상처/염증있음/농이차있음/병원처치후입소/파랑빨강목테",2020-05-09
종료(자연사),울산-울주-2020-00377,개,믹스견,검정,미상,미상,경계심이심해상세정보추후기재,2020-05-09
종료(자연사),울산-동구-2020-00098,고양이,한국 고양이,회색.흰색,미상,미상,허약,2020-05-09
종료(자연사),울산-동구-2020-00097,고양이,한국 고양이,검정.갈색.흰색,미상,미상,허약,2020-05-09
종료(입양),울산-동구-2020-00096,고양이,한국 고양이,검정.흰색,미상,미상,허약,2020-05-09
종료(입양),대전-유성-2020-00209,개,믹스견,황,암컷,미상,유성 20-204-205 동시구조,2020-05-09
종료(자연사),대전-유성-2020-00208,개,믹스견,황,암컷,미상,유성 20-204-205동시구조,2020-05-09
종료(반환),대전-유성-2020-00207,개,믹스견,검황,암컷,미상,,2020-05-09
종료(안락사),대전-서구-2020-00218,고양이,한국 고양이,갈색,수컷,미상,,2020-05-09
종료(자연사),대전-서구-2020-00217,개,믹스견,백색,수컷,미상,,2020-05-09
종료(반환),대전-중구-2020-00188,개,말티즈,백,수컷,아니오,",",2020-05-09
종료(자연사),대전-중구-2020-00187,고양이,코숏,삼색,암컷,아니오,",",2020-05-09
종료(반환),인천-계양-2020-00268,개,시츄,걸검색/백색,수컷,아니오,파란색목걸이+목줄착용,2020-05-09
종료(자연사),인천-계양-2020-00267,고양이,한국 고양이,걸검색/백색,암컷,아니오,"안구염증,기관지염증상있슴,사람을 경계함",2020-05-09
종료(입양),인천-부평-2020-00266,고양이,한국 고양이,고등어,수컷,아니오,"어미잃은자묘,예후 양호",2020-05-09
종료(입양),인천-부평-2020-00265,고양이,한국 고양이,삼색이,암컷,아니오,"어미잃은자묘,예후 양호",2020-05-09
종료(자연사),인천-남동-2020-00215,고양이,한국 고양이,갈/검,수컷,미상,후지보행장애/전지후지 찰과상/온순함,2020-05-09
종료(입양),인천-중구-2020-00216,고양이,한국 고양이,고등어테비,암컷,아니오,뒷다리 외상으로 절룩거리고 보행 잘 못함,2020-05-09
종료(안락사),인천-중구-2020-00215,개,믹스견,점박이,수컷,아니오,어미와 같이 구조. 2~3개월령 추정,2020-05-09
종료(안락사),인천-중구-2020-00214,개,믹스견,흰색,수컷,아니오,어미와 같이 구조됨,2020-05-09
종료(안락사),인천-중구-2020-00213,개,믹스견,검은 반점,암컷,미상,어미와 새끼 두마리 가이 구조됨. 어미,2020-05-09
종료(입양),대구-달성-2020-00273,고양이,한국 고양이,흰색,수컷,아니오,"1주령 추정, 인공포유 필요함.",2020-05-09
종료(반환),대구-달서-2020-00138,개,비글,삼색,수컷,예,기력 없음,2020-05-09
종료(자연사),부산-사상-2020-00107,고양이,한국 고양이,검흰,미상,미상,어미없음,2020-05-09
종료(자연사),부산-사상-2020-00109,고양이,한국 고양이,흰검,미상,미상,"112-어미없음.허약,탈진",2020-05-09
종료(입양),부산-금정-2020-00147,고양이,한국 고양이,갈색+흰색,암컷,아니오,"금정 2-57, 기력저하, 영양상태불량",2020-05-09
종료(반환),부산-사하-2020-00189,개,말티즈,흰색,수컷,미상,흰색,2020-05-09
종료(자연사),부산-해운대-2020-00183,고양이,혼합,검정+흰색,수컷,아니오,"심한 안질환, 기력매우저하, 전염성질병",2020-05-09
종료(입양),부산-해운대-2020-00182,고양이,혼합,검정+갈색+흰색,암컷,아니오,"기력저하,보행이상",2020-05-09
종료(반환),부산-해운대-2020-00181,개,보스턴 테리어,검정+흰색,수컷,아니오,검정+흰색,2020-05-09
종료(자연사),부산-서구-2020-00138,고양이,한국 고양이,"검은색, 부분부분 흰색",미상,아니오,"영양상태 불량, 안질환",2020-05-09
종료(반환),서울-강동-2020-00121,개,마리노이즈,갈/검,암컷,미상,노란목걸이. 코검정. 활발함. 사람좋아함. 꼬리단미안됨. 털상태 양호.,2020-05-09
종료(반환),서울-영등포-2020-00032,개,믹스견,흰,수컷,아니오,양눈백내장.양귀쫑긋.코갈색.치석심함.겁있음.소심함.사람따름.,2020-05-09
종료(자연사),서울-금천-2020-00052,고양이,한국 고양이,갈/검/흰,암컷,미상,잇몸빨갛게부어오름/상처. 저체온. 기력없음. 기립못함. 털때탐.,2020-05-09
종료(반환),서울-용산-2020-00071,개,말티즈,흰색,암컷,아니오,"현재 발정중, 양호함. 가출로 보여짐",2020-05-09
종료(반환),서울-중구-2020-00031,개,믹스견,갈,암컷,미상,양귀쫑긋. 코검정. 겁많음. 소심함. 꼬리단미안됨. 털상태 양호.,2020-05-09
종료(입양),충남-서산-2020-00298,개,믹스견,"갈색,검정",수컷,미상,"순한편임, 많이 떨음, 진드기 많음",2020-05-09
보호중,강원-원주-2020-00358,개,믹스견,"연,갈색",수컷,아니오,기력없음,2020-05-09
보호중,강원-원주-2020-00357,개,진도견,흰색,수컷,아니오,경계심함,2020-05-09
종료(반환),강원-원주-2020-00356,개,말티즈,흰색,암컷,아니오,"옷착용, 미용됨",2020-05-09
종료(입양),서울-관악-2020-00238,개,스피츠,흰색,암컷,아니오,"순하고사람잘따름,피부귀상태양호.칩없음",2020-05-09
종료(입양),서울-동작-2020-00085,기타축종,,흰색,미상,미상,온순,2020-05-09
종료(반환),경북-경산-2020-00361,개,믹스견,흰색,수컷,아니오,남천강변에서 배회,2020-05-09
종료(입양),경북-문경-2020-00165,고양이,한국 고양이,"황색,흰색",수컷,미상,2개월령 새끼고양이,2020-05-09
종료(입양),경북-포항-2020-00431,고양이,한국 고양이,흑,수컷,아니오,"두마리함께구조,까만털이매력적임,사료먹음",2020-05-09
종료(입양),경북-포항-2020-00430,고양이,한국 고양이,황백,암컷,아니오,"두마리함께구조,머리위에노란치즈포인트,사료먹음",2020-05-09
종료(자연사),경북-포항-2020-00429,고양이,한국 고양이,흑황,수컷,아니오,"힘없음,구더기있음(눈에너무많음),상태가안좋음",2020-05-09
종료(안락사),경북-포항-2020-00428,개,믹스견,흑황,수컷,아니오,"세마리함께구조,새침한듯귀여운아이",2020-05-09
종료(안락사),경북-포항-2020-00427,개,믹스견,흑황백,암컷,아니오,"세마리함께구조,유치있음,약간삐죽한흰털이포인트",2020-05-09
종료(입양),경북-포항-2020-00426,개,믹스견,흑황,수컷,아니오,"세마리함께구조,복실복실한털,활발하며 사람을잘따름",2020-05-09
보호중,전북-군산-2020-00666,개,믹스견,화이트,암컷,아니오,개농장에서 탈출한 아이,2020-05-09
종료(자연사),전북-전주-2020-00637,고양이,한국 고양이,삼색,암컷,아니오,어미잃은 새끼고양이,2020-05-09
종료(자연사),전북-전주-2020-00636,고양이,한국 고양이,"검정,흰색",수컷,아니오,어미잃은 새끼고양이,2020-05-09
종료(자연사),전북-전주-2020-00635,고양이,한국 고양이,삼색,수컷,아니오,어미잃은 새끼고양이,2020-05-09
종료(자연사),전북-전주-2020-00634,고양이,한국 고양이,흰색갈색,암컷,아니오,스치로풀 박스안에 있었음,2020-05-09
종료(자연사),전북-전주-2020-00633,고양이,한국 고양이,흰색갈색,암컷,아니오,스치로풀 박스안에 있었음,2020-05-09
종료(반환),전북-전주-2020-00632,개,올드 잉글리쉬 쉽독,흰색회색,암컷,아니오,빨강색 목줄 착용,2020-05-09
종료(입양),충남-아산-2020-00412,개,믹스견,베이지,암컷,아니오,766호(관리) 412호(공고) 착하고 순함,2020-05-09
종료(입양),충남-아산-2020-00411,개,푸들,검정색,암컷,아니오,765호(관리) 411호(공고) 온순함,2020-05-09
종료(입양),경북-포항-2020-00426,개,믹스견,흑황,수컷,아니오,"세마리함께구조,복실복실한털,활발하며 사람을잘따름",2020-05-09
보호중,전북-군산-2020-00666,개,믹스견,화이트,암컷,아니오,개농장에서 탈출한 아이,2020-05-09
종료(자연사),전북-전주-2020-00637,고양이,한국 고양이,삼색,암컷,아니오,어미잃은 새끼고양이,2020-05-09
종료(자연사),전북-전주-2020-00636,고양이,한국 고양이,"검정,흰색",수컷,아니오,어미잃은 새끼고양이,2020-05-09
종료(자연사),전북-전주-2020-00635,고양이,한국 고양이,삼색,수컷,아니오,어미잃은 새끼고양이,2020-05-09
종료(자연사),전북-전주-2020-00634,고양이,한국 고양이,흰색갈색,암컷,아니오,스치로풀 박스안에 있었음,2020-05-09
종료(자연사),전북-전주-2020-00633,고양이,한국 고양이,흰색갈색,암컷,아니오,스치로풀 박스안에 있었음,2020-05-09
종료(반환),전북-전주-2020-00632,개,올드 잉글리쉬 쉽독,흰색회색,암컷,아니오,빨강색 목줄 착용,2020-05-09
종료(입양),충남-아산-2020-00412,개,믹스견,베이지,암컷,아니오,766호(관리) 412호(공고) 착하고 순함,2020-05-09
종료(입양),충남-아산-2020-00411,개,푸들,검정색,암컷,아니오,765호(관리) 411호(공고) 온순함,2020-05-09
종료(입양),충남-아산-2020-00410,개,믹스견,흰색,수컷,아니오,764호(관리) 410호(공고) 착함,2020-05-09
종료(입양),충남-아산-2020-00409,개,믹스견,흰&검정색,암컷,아니오,763호(관리) 409호(공고) 착함 겁이 많음,2020-05-09
종료(자연사),충북-청주-2020-00659,고양이,한국 고양이,치즈,미상,미상,수유가 필요한 애기 치즈냥이에요. 24시간 케어가 필요해 입양을 전제로 한 임보가 가능합니다.,2020-05-09
종료(안락사),충북-충주-2020-00193,개,요크셔 테리어,검갈,암컷,미상,"겁많고 순함 발톱관리 안되있음,각막궤양있음,사상충음성",2020-05-09
종료(입양),경기-여주-2020-00308,개,믹스견,흰색,암컷,아니오,"채리아이, 겁이다소 있으나 온순함",2020-05-09
종료(안락사),경기-여주-2020-00307,개,믹스견,크림색,암컷,아니오,겁이많음,2020-05-09
종료(안락사),경기-여주-2020-00306,개,믹스견,크림색,수컷,아니오,"겁이 다소 있으나, 온순함",2020-05-09
종료(안락사),경기-여주-2020-00305,개,진도견,흰색,수컷,아니오,경계심이 많고 사나움,2020-05-09
종료(안락사),경기-여주-2020-00304,개,풍산견,흰색,암컷,아니오,온순함,2020-05-09
종료(입양),경기-화성-2020-00937,개,믹스견,백색,암컷,아니오,2개월령,2020-05-09
종료(안락사),경기-화성-2020-00936,개,믹스견,백색,암컷,아니오,2개월령,2020-05-09
종료(안락사),경기-화성-2020-00935,개,믹스견,백색,수컷,아니오,2개월령,2020-05-09
종료(안락사),경기-화성-2020-00934,개,믹스견,백색,암컷,아니오,2개월령,2020-05-09
종료(안락사),경기-화성-2020-00933,개,믹스견,백색,암컷,아니오,2개월령,2020-05-09
종료(안락사),경기-화성-2020-00932,개,믹스견,백색,암컷,아니오,사나움,2020-05-09
종료(자연사),경기-화성-2020-00931,고양이,한국 고양이,황백색,암컷,아니오,"빗속에서 구조, 탈진, 기립부전, 임신추정",2020-05-09
종료(안락사),경기-화성-2020-00930,개,미텔 스피츠,백색,수컷,아니오,2개월령,2020-05-09
종료(안락사),경기-화성-2020-00929,개,믹스견,황백색,암컷,아니오,2개월령,2020-05-09
종료(반환),경기-이천-2020-00274,개,시츄,"흰색, 갈색",암컷,아니오,온순함,2020-05-09
종료(입양),경기-이천-2020-00273,개,믹스견,황색,수컷,아니오,"GPS착용, 온순함",2020-05-09
종료(입양),경기-이천-2020-00272,개,스피츠,흰색,암컷,아니오,온순함,2020-05-09
종료(입양),경기-이천-2020-00271,고양이,한국 고양이,"흰색, 회색",수컷,아니오,"야윔, 온순",2020-05-09
종료(입양),경기-이천-2020-00270,고양이,한국 고양이,"흰색, 회색",수컷,아니오,"야윔, 온순",2020-05-09
종료(입양),경기-이천-2020-00269,고양이,한국 고양이,"회색, 흰색",수컷,아니오,"야윔, 온순",2020-05-09
종료(자연사),경기-이천-2020-00268,개,진도견,황색,암컷,아니오,"좌측다리 부상, 경계심이 다소있음",2020-05-09
종료(입양),경기-이천-2020-00267,개,올드 잉글리쉬 불독,"황갈색, 흰색",수컷,아니오,사람을 좋아하며 온순함,2020-05-09
종료(안락사),경기-이천-2020-00266,개,진도견,흰색,수컷,아니오,온순함,2020-05-09
종료(자연사),경기-파주-2020-00256,고양이,한국 고양이,노랑,수컷,아니오,"저혈당성 기력저하, 운동성저하 상태임",2020-05-09
종료(입양),경기-하남-2020-00217,고양이,한국 고양이,고등어재색,암컷,예,교통사고,2020-05-09
종료(안락사),경기-군포-2020-00149,개,포메라니안,흰/갈색,수컷,아니오,포메믹스,2020-05-09
종료(입양),경기-남양주-2020-00712,고양이,한국 고양이,회백,수컷,아니오,"어린 고양이, 인공포유중",2020-05-09
종료(입양),경기-남양주-2020-00711,고양이,한국 고양이,회백,수컷,아니오,"어린 고양이, 인공포유중",2020-05-09
종료(입양),경기-남양주-2020-00710,고양이,한국 고양이,흑백,수컷,아니오,"어린 고양이, 인공포유중",2020-05-09
종료(입양),경기-남양주-2020-00709,고양이,한국 고양이,삼색,암컷,아니오,"어린 고양이, 인공포유중",2020-05-09
종료(입양),경기-남양주-2020-00708,고양이,한국 고양이,황백,암컷,아니오,"어린 고양이, 인공포유중",2020-05-09
종료(입양),경기-남양주-2020-00707,고양이,한국 고양이,삼색,암컷,아니오,"어린 고양이, 인공포유중",2020-05-09
종료(반환),경기-안산-2020-00489,개,푸들,갈,수컷,예,인식표있으나 주인전화 안받음,2020-05-09
종료(자연사),경기-안산-2020-00487,기타축종,토끼,갈백,미상,미상,"성별나이미상,뇌손상추정,예후불량",2020-05-09
종료(입양),경기-평택-2020-00889,개,케인 코르소,검정,암컷,아니오,강아지,2020-05-09
종료(입양),경기-평택-2020-00888,개,코리아 트라이 하운드,검정,수컷,아니오,강아지,2020-05-09
종료(입양),경기-평택-2020-00887,개,믹스견,흰색,암컷,아니오,순함,2020-05-09
종료(입양),경기-부천-2020-00324,고양이,한국 고양이,갈검,암컷,아니오,전신에 끈끈이 붙어 있음. 호흡 불량,2020-05-09
종료(자연사),경기-부천-2020-00323,고양이,한국 고양이,검갈,암컷,아니오,뱅갈믹스 추정. 매우야윔. 바이러스질환 의증. 예후불량.,2020-05-09
종료(입양),경기-부천-2020-00322,고양이,한국 고양이,흰검,수컷,아니오,50일령 추정. 겁 많으나 사납지 않음.,2020-05-09
종료(입양),경기-성남-2020-00294,개,믹스견,백색,암컷,미상,구토,2020-05-09
종료(반환),경기-성남-2020-00293,개,푸들,갈색,수컷,예,칩있음.,2020-05-09
종료(자연사),울산-북구-2020-00119,고양이,한국 고양이,흰색,수컷,아니오,식욕 없음,2020-05-09
종료(자연사),울산-남구-2020-00238,고양이,한국 고양이,흰색 검정색,수컷,아니오,인공포유 및 경미한 설사증 및 눈주위염증,2020-05-09
종료(자연사),울산-남구-2020-00237,고양이,한국 고양이,흰색 검정색,수컷,아니오,인공포유 및 경미한 설사증 및 눈주위염증,2020-05-09
종료(자연사),울산-남구-2020-00236,고양이,한국 고양이,흰색 검정색,수컷,아니오,인공포유 및 경미한 설사증 및 눈주위염증,2020-05-09
종료(자연사),울산-남구-2020-00235,고양이,한국 고양이,흰색 검정색,암컷,아니오,인공포유 및 경미한 설사증 및 눈주위염증,2020-05-09
종료(자연사),울산-남구-2020-00230,고양이,한국 고양이,검정,수컷,아니오,"나이-20일전후,허약",2020-05-09
종료(자연사),울산-남구-2020-00229,고양이,한국 고양이,검정,수컷,아니오,"나이-20일전후,허약",2020-05-09
종료(자연사),울산-남구-2020-00228,고양이,한국 고양이,"노랑,검정,흰색",암컷,아니오,"나이-20일전후,허약",2020-05-09
종료(입양),울산-남구-2020-00227,개,시츄,갈+흰,암컷,아니오,핑크색 목줄을하고있었음,2020-05-09
종료(자연사),울산-중구-2020-00130,고양이,한국 고양이,흰색,암컷,아니오,옥상에서 떨어짐,2020-05-09
종료(입양),대전-서구-2020-00216,개,진도견,백색,수컷,미상,,2020-05-09
종료(입양),대전-서구-2020-00215,개,진도견,백색,수컷,미상,,2020-05-09
종료(입양),대전-서구-2020-00214,개,진도견,백색,수컷,미상,,2020-05-09
종료(입양),대전-서구-2020-00213,개,시츄,갈백,수컷,미상,,2020-05-09
종료(입양),대전-서구-2020-00212,개,믹스견,갈백,암컷,미상,,2020-05-09
종료(입양),광주-광산-2020-00298,개,말티즈,흰,암컷,미상,20-0669 눈이,2020-05-09
종료(자연사),광주-서구-2020-00166,고양이,한국 고양이,"갈,흰",암컷,미상,20-7169,2020-05-09
종료(자연사),광주-서구-2020-00165,고양이,한국 고양이,삼색,암컷,미상,20-7168,2020-05-09
종료(자연사),광주-서구-2020-00164,고양이,한국 고양이,카오스,암컷,미상,20-7167,2020-05-09
종료(자연사),광주-서구-2020-00163,고양이,한국 고양이,"갈,흰",미상,미상,"20-6065, 다리부상, 출혈, 기립불가, 교통사고",2020-05-09
종료(반환),광주-서구-2020-00162,개,포메라니안,"갈,흰",암컷,미상,20-0670,2020-05-09
종료(입양),대구-수성-2020-00216,고양이,한국 고양이,흰검,미상,아니오,"경게함, 영양부족",2020-05-09
종료(입양),대구-수성-2020-00215,개,믹스견,"연갈,흰",수컷,아니오,"순함, 사람을 좋아함",2020-05-09
종료(자연사),대구-북구-2020-00120,고양이,한국 고양이,노랑,미상,아니오,"어미분리자묘,결막염, 저체온증,탈진, 탈수, 상태 나쁨",2020-05-09
종료(자연사),대구-남구-2020-00123,고양이,한국 고양이,회색,암컷,미상,"어미분리자묘,결막염,저체온증,탈진, 탈수",2020-05-09
종료(자연사),대구-서구-2020-00174,고양이,한국 고양이,황/갈/백,암컷,아니오,눈꼽끼이고 기력이 없음,2020-05-09
종료(입양),대구-서구-2020-00173,고양이,한국 고양이,흑백,수컷,아니오,2개월령,2020-05-09
종료(입양),대구-동구-2020-00154,고양이,한국 고양이,흰색,수컷,아니오,"어미분리자묘, 탈진",2020-05-09
종료(입양),대구-동구-2020-00152,개,말티즈,흰색,암컷,미상,겁 많음,2020-05-09
종료(자연사),대구-중구-2020-00096,기타축종,,흰노랑,미상,아니오,없음,2020-05-09
종료(입양),대구-중구-2020-00095,개,비글,검황흰색,수컷,아니오,빨간색 가슴줄 착용,2020-05-09
종료(안락사),대구-중구-2020-00094,개,삽살개,흰색,미상,미상,"사나워서 등록번호, 성별 확인불가",2020-05-09
종료(반환),서울-관악-2020-00237,개,시베리안 허스키,검흰색,암컷,아니오,"순하고사람잘따름,치아깨끗,칩있음",2020-05-09
종료(입양),서울-관악-2020-00236,고양이,한국 고양이,수컷,수컷,아니오,"구청신고.결막염,설사,이유식급여",2020-05-09
종료(안락사),전북-장수-2020-00052,개,믹스견,흰색,암컷,아니오,흰색을 띄고 있음,2020-05-08
종료(입양),전북-부안-2020-00165,개,믹스견,짙노랑,암컷,미상,"짙노랑 믹스견, 2세 암컷",2020-05-08
보호중,전남-완도-2020-00105,개,믹스견,갈색,암컷,아니오,온순한편임.,2020-05-08
종료(반환),충북-괴산-2020-00132,개,보스턴 테리어,"흰색, 검정색",암컷,아니오,뒷다리 좌우측에 기형이 있어 바로서기 힘들어함,2020-05-08
보호중,경북-상주-2020-00185,개,믹스견,검,수컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
종료(자연사),경북-상주-2020-00184,개,믹스견,검,수컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
보호중,경북-상주-2020-00183,개,믹스견,검,수컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
종료(입양),경북-상주-2020-00182,개,믹스견,검,수컷,아니오,경계심이 강함,2020-05-08
보호중,경북-상주-2020-00181,개,믹스견,검,암컷,아니오,사람을 잘 따름,2020-05-08
종료(입양),경북-상주-2020-00180,개,믹스견,검,암컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
종료(안락사),전북-장수-2020-00052,개,믹스견,흰색,암컷,아니오,흰색을 띄고 있음,2020-05-08
종료(입양),전북-부안-2020-00165,개,믹스견,짙노랑,암컷,미상,"짙노랑 믹스견, 2세 암컷",2020-05-08
보호중,전남-완도-2020-00105,개,믹스견,갈색,암컷,아니오,온순한편임.,2020-05-08
종료(반환),충북-괴산-2020-00132,개,보스턴 테리어,"흰색, 검정색",암컷,아니오,뒷다리 좌우측에 기형이 있어 바로서기 힘들어함,2020-05-08
보호중,경북-상주-2020-00185,개,믹스견,검,수컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
종료(자연사),경북-상주-2020-00184,개,믹스견,검,수컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
보호중,경북-상주-2020-00183,개,믹스견,검,수컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
종료(입양),경북-상주-2020-00182,개,믹스견,검,수컷,아니오,경계심이 강함,2020-05-08
보호중,경북-상주-2020-00181,개,믹스견,검,암컷,아니오,사람을 잘 따름,2020-05-08
종료(입양),경북-상주-2020-00180,개,믹스견,검,암컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
종료(자연사),경북-상주-2020-00179,개,믹스견,검,암컷,아니오,"어미없이 박스에 버려짐,7마리",2020-05-08
